Period,State_1,Nobs_1,Price_Av_1,Price_Med_1,Price_Av_Pure_1,Price_Med_Pure_1,Price_OLS_1,Price_RLS_1,Price_exp_1,Price_ppgLOS_1,State_2,Nobs_2,Price_Av_2,Price_Med_2,Price_Av_Pure_2,Price_Med_Pure_2,Price_OLS_2,Price_RLS_2,Price_exp_2,Price_ppgLOS_2
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , CO , 83 , 1641.85542168675 , 953 , 1090.75229619663 , 60.7498827 , 309.704600293866 , 333.854968806441 , 2251.81174668137 , 309.704600293866 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , CO , 61 , 1507.09836065574 , 911 , 127.562439911672 , 65.46289885 , 737.366372533387 , 535.109187119776 , 2073.86556436287 , 737.366372533387 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , CO , 53 , 1421.92452830189 , 901 , 89.5605529690377 , 54.63124884 , 1207.62892175883 , 484.76945687744 , 1661.17127199974 , 1207.62892175883 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , CO , 59 , 1510.20338983051 , 857 , 122.332579032373 , 70.83994322 , 409.950683512177 , 409.830152286785 , 2261.05521795103 , 409.950683512177 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , CO , 75 , 1856.52 , 856 , 1120.11461974708 , 75.0478606 , 251.79120624953 , 269.854754703185 , 2187.35504954957 , 251.79120624953 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , CO , 72 , 1919.45833333333 , 951.5 , 138.201969222444 , 61.05191261 , 686.129705394561 , 414.227270644702 , 2045.55045807017 , 686.129705394561 , 
7 , AL , 33 , 1254.36363636364 , 967 , 160.128787477061 , 91.82853465 , 459.184859347112 , 364.102743164253 , 2779.26396773477 , 459.184859347112 , CO , 20 , 1363.2 , 779 , 86.38971762105 , 63.931844365 , 167.625280137788 , 103.59695300704 , 2209.06703862984 , 167.625280137788 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , CT , 77 , 1096.58441558442 , 712 , 97.8693403556104 , 61.32623563 , 165.17953740133 , 152.25808052445 , 2448.95469308861 , 165.17953740133 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , CT , 80 , 2219.0625 , 838 , 105.82252134775 , 55.414451865 , 636.574671618055 , 236.478289992376 , 3482.31678013743 , 636.574671618055 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , CT , 94 , 1337.35106382979 , 855 , 97.0856233330957 , 54.88141104 , 733.145164317271 , 308.56042931198 , 2546.11906624849 , 733.145164317271 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , CT , 91 , 1266.3956043956 , 724 , 265.013293128835 , 66.19454496 , -139.929898744185 , 61.3377099686719 , 2773.562891124 , -139.929898744185 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , CT , 78 , 1238.10256410256 , 722.5 , 261.099885301744 , 56.051540945 , -78.086213903195 , 181.222480336977 , 2023.18442973369 , -78.086213903195 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , CT , 83 , 1195.77108433735 , 841 , 81.6086922429518 , 58.966767 , 828.851108965488 , 279.756250400361 , 1461.28776151226 , 828.851108965488 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , DC , 70 , 2321.95714285714 , 1667 , 154.340580468214 , 65.41999513 , 577.950337570788 , 452.968259938269 , 3038.61638585988 , 577.950337570788 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , DC , 58 , 2026.46551724138 , 1345 , 171.184918438724 , 72.436703305 , 1127.77448664074 , 496.693996545404 , 2106.54828378995 , 1127.77448664074 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , DC , 59 , 2147.30508474576 , 1691 , 100.203424426746 , 65.40153168 , 878.058203459373 , 591.453590573131 , 2882.44132091937 , 878.058203459373 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , DC , 72 , 1750.54166666667 , 1176 , 272.096981113597 , 72.7026956 , 453.490470084076 , 421.819284466118 , 2760.63589942347 , 453.490470084076 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , DC , 59 , 1924.33898305085 , 1696 , 73.4570291948136 , 52.88473797 , 963.633021286378 , 605.907543182292 , 2315.83477486182 , 963.633021286378 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , DC , 67 , 1860 , 1245 , 80.5641787495672 , 61.37961631 , 86.3016721569185 , 154.479946850145 , 2691.15383981048 , 86.3016721569185 , 
7 , AL , 33 , 1254.36363636364 , 967 , 160.128787477061 , 91.82853465 , 459.184859347112 , 364.102743164253 , 2779.26396773477 , 459.184859347112 , DC , 16 , 2447.25 , 1458.5 , 133.292422458937 , 71.79049561 , 7.12048061106172 , 224.863682698581 , 2280.31411047607 , 7.12048061106172 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , DE , 25 , 1516.56 , 1162 , 154.7390357248 , 103.8279374 , 384.158949589612 , 363.657691336525 , 3573.92856569953 , 384.158949589612 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , DE , 30 , 1392.66666666667 , 857.5 , 11339.6783116912 , 83.91442358 , -22.779727191123 , 105.407574731404 , 2747.95207101006 , -22.779727191123 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , DE , 31 , 1293.51612903226 , 1160 , 465.653213655484 , 75.37706783 , 203.283071280621 , 180.142101477408 , 2590.20800506471 , 203.283071280621 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , DE , 33 , 1254.84848484848 , 847 , 201.502459937576 , 67.83357708 , 316.771552775215 , 260.648800078119 , 2238.00754843765 , 316.771552775215 , 
