Row Labels,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132
PA,17,13,12,11,10,9,13,16,12,15,13,16,14,13,14,13,9,13,5,13,16,13,8,14,13,11,13,13,10,17,12,13,11,14,20,15,15,8,12,20,9,7,12,8,18,11,14,16,13,13,17,14,10,15,13,9,9,11,11,14,10,11,16,11,16,15,11,16,14,19,20,11,16,12,17,14,17,9,17,15,13,15,17,13,15,13,9,15,9,9,11,17,9,9,10,20,6,14,15,13,13,11,13,8,8,9,22,8,14,10,9,11,11,12,13,9,14,16,13,18,11,11,12,16,8,11,14,16,15,15,8,7
RI,8,2,,4,,,2,3,3,2,3,1,6,4,2,1,2,,1,3,7,4,4,5,6,2,,2,2,1,1,3,,4,3,7,1,4,1,9,4,,3,4,1,4,3,1,5,4,3,1,2,2,3,2,1,2,5,1,2,6,3,,1,5,3,2,2,,1,2,2,2,1,3,2,6,3,1,1,6,2,1,3,2,3,,3,4,6,1,3,,3,2,1,,5,2,3,3,3,5,3,2,6,4,2,2,5,4,1,6,4,1,3,,2,2,7,2,,2,3,1,6,4,3,2,2,5
SC,2,4,2,6,1,4,6,6,5,9,3,,2,5,3,1,5,5,2,7,7,4,4,4,4,4,,3,8,3,5,2,3,3,1,5,2,2,5,4,6,1,5,8,3,8,4,2,2,5,5,5,6,3,3,6,1,7,,6,1,4,6,5,7,5,4,4,1,2,8,10,5,5,2,4,7,4,2,,,5,9,3,4,3,4,5,3,6,6,1,2,1,7,4,4,2,4,3,4,4,4,4,4,1,6,5,7,4,3,3,3,2,3,5,4,4,4,2,3,1,,10,4,5,3,3,5,4,4,4
SD,2,,,1,,,,,,,,1,1,,,,,,2,1,1,,,1,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,,,,,,1,,,,2,,,,,,,1,,,2,1,,,,1,,,1,,1,,1,,1,1,,,,,1,1,,,2,,,,1,,,1,,
TN,3,1,5,2,5,2,3,6,4,2,3,6,4,3,5,6,8,4,1,4,5,2,3,3,2,3,4,5,7,3,4,2,8,5,4,5,2,4,8,3,6,1,3,4,6,5,5,3,3,4,9,4,7,5,3,3,5,8,3,4,5,4,3,7,4,3,7,4,4,6,4,4,3,7,1,4,6,3,3,3,3,4,11,2,5,6,4,6,4,3,6,5,5,4,5,4,6,6,3,2,5,3,6,2,4,5,3,,2,5,7,3,5,3,8,4,7,2,4,4,7,2,6,3,4,8,6,4,3,5,4,6
TX,27,25,24,20,20,20,29,25,25,19,29,26,20,27,27,24,20,22,33,27,30,27,19,24,26,34,25,19,22,19,21,26,23,24,21,31,22,19,23,29,20,21,30,19,18,32,25,31,25,29,29,30,24,20,28,21,32,28,30,32,23,29,29,17,32,19,17,31,29,35,26,39,14,29,20,31,18,21,18,30,30,25,34,30,27,24,29,25,22,26,28,35,18,29,31,26,22,26,22,19,17,25,18,26,26,19,28,20,23,16,28,34,29,15,23,16,26,27,29,17,19,25,25,23,28,18,19,41,23,36,24,23
UT,2,4,1,3,6,2,1,1,3,1,4,2,2,,1,1,2,2,1,1,,1,2,1,1,3,,1,2,1,5,1,1,1,3,1,2,5,1,1,5,1,2,2,2,1,3,1,1,1,2,3,2,2,1,3,1,2,3,1,1,1,1,3,1,1,1,,4,4,1,1,1,3,7,,3,,,2,2,3,1,2,,2,1,1,1,2,,2,3,,3,2,3,2,2,1,2,1,,1,,3,1,3,3,2,1,2,1,3,5,2,4,1,2,,3,3,3,,3,2,2,1,,2,2,1
VA,22,22,21,18,14,14,20,20,14,18,30,20,12,24,20,34,13,16,27,20,14,20,20,17,23,16,21,13,23,20,21,20,18,13,20,24,16,13,17,23,21,22,19,25,14,27,25,18,16,18,20,18,14,17,18,10,15,18,16,18,12,33,17,21,21,12,18,12,23,13,16,19,22,20,19,25,16,16,18,23,20,18,18,21,11,23,17,18,21,25,20,9,16,23,18,13,23,23,15,16,14,22,18,25,23,13,17,19,19,20,17,20,20,12,15,14,23,15,24,14,17,28,23,21,14,18,31,16,18,14,16,23
VT,3,2,1,2,3,2,3,1,3,2,1,,2,,3,2,4,,1,,2,1,2,2,2,1,,1,4,1,1,3,3,,2,2,1,1,3,1,3,2,1,2,2,1,,1,,1,3,2,1,1,2,1,1,2,,,,1,3,,2,2,1,3,2,1,2,1,,1,2,1,,,3,4,1,1,3,1,1,1,2,3,1,,,2,,3,2,3,1,1,1,,2,2,1,3,1,,,,1,2,1,2,,2,2,2,3,1,1,1,1,4,1,2,1,2,,2,,1,,1
WA,7,3,12,8,5,6,5,8,5,2,2,5,5,4,4,1,6,6,10,7,6,7,9,7,6,7,6,5,4,4,7,9,8,6,6,4,6,9,8,6,3,6,1,3,3,7,7,6,4,5,9,5,6,7,4,5,7,12,10,10,5,3,6,3,5,5,3,9,4,5,5,6,5,6,2,5,7,5,5,3,4,5,6,5,6,5,4,4,6,4,4,5,8,4,3,1,8,5,6,2,4,8,3,3,6,8,5,5,6,6,6,5,5,8,9,11,10,10,7,3,5,8,6,4,3,9,6,3,4,6,4,5
WI,2,5,2,6,5,1,3,6,10,4,3,1,3,3,2,6,3,4,6,1,4,5,4,3,5,4,1,2,3,4,5,3,2,4,5,1,3,3,,2,3,4,2,,5,3,3,,5,2,3,3,2,8,5,4,3,2,3,2,1,5,6,4,2,2,,2,4,3,1,2,4,2,3,4,8,3,1,1,2,1,4,3,2,3,7,2,4,2,2,1,7,4,4,5,9,1,4,5,4,2,3,5,5,2,5,6,1,6,3,5,2,2,1,,1,2,2,3,2,4,4,4,5,3,3,6,2,5,3,8
WV,5,3,6,4,10,8,10,6,8,4,5,5,10,6,4,9,9,4,6,3,3,2,1,6,8,5,8,7,3,7,6,6,3,8,7,6,6,9,4,6,5,9,11,3,3,13,5,3,7,2,12,6,5,5,5,4,5,5,9,8,8,8,10,4,4,9,7,7,7,8,5,6,7,5,8,9,6,9,4,2,5,8,7,4,6,,6,2,6,3,9,10,3,7,5,4,5,9,4,7,6,4,4,11,8,2,2,3,7,4,5,8,5,9,2,2,7,9,2,3,5,4,4,10,12,8,9,5,7,8,4,9
WY,1,,,,1,,,,1,,,,,,,1,1,,,,,1,1,,,,1,,,,,,,,1,,,,,2,,,,,1,1,,,1,,1,,,1,,,,1,,1,,,,,3,1,,1,,1,,2,,2,,,,,,,,,1,,3,,,,,1,1,,,,,1,,2,,,,1,,,,,,1,,,,,2,,,1,,,,,1,,,,,1,,1,1,,,
